Autor;Título;REVISTA;Volume;Number;Pages;ANO;Tipo;QUALIS DA REVISTA;Usuário Impressora 3D;Metodologia Utilizada;Etapa, disciplina e currículo;Cultura Maker e Ensino STEAM;Observações;Criação do design;INSTITUIÇÃO
"Jorge, Camila Silva Pereira; Araújo, Márcio Luís Valença; Júnior, Aníbal de Freitas Santos; ";MODELO HÍBRIDO DE APRENDIZAGEM NAS ESCOLAS: ASPECTOS RELACIONADOS AOS COMPONENTES CURRICULARES DE CIÊNCIAS BIOLÓGICAS;Anais do Seminário Tecnologias Aplicadas a Educação e Saúde;;;71-80;2023;;;;;;;;;
"Farias, José Lucas; ";A inclusão da cultura maker no ensino médio como ferramenta didática;;;;;2023;;;;;;;;;Instituto Federal de Educação Ciência e Tecnologia de Alagoas
"Junior, Natal Anacleto Chicca; Castillo, Leonardo Gomez; ";Os desafios em utilizar a impressão 3D no processo ensino-aprendizagem de design;RENOTE;16;1;;2018;artigo;A4 ;;;;;;;
"Mendonça, Suzielli Martins; Conrado, Gutemberg; Centenaro, Enzo Filippo; Bertoncelli, Leonardo; Bertti, Caroline Vanessa Bauman; ";Desenvolvimento de experimentos didáticos utilizado a tecnologia de impressão 3D;;;;;2023;;;;;;;;;
"da Silva, Jailson Rodrigues; Florindo, Girlane; Machado, Veruska; ";Tecnologia 3D: Ferramenta para o ensino de Artes Visuais para pessoas com deficiência visual;Brazilian Symposium on Computers in Education (Simpósio Brasileiro de Informática na Educação-SBIE);28;1;1772;2017;;;;;;;;;
"Lacerda, Janiny Nunes; ";A impressão 3D como estratégia de ensino e aprendizagem em química na educação básica;;;;;2017;;;;;;;;;
"da Fraga Gonçalves, Hanna Aimée; Medeiros, Érika Medina; de Sousa, Gustavo Mota; Lima, Delson; ";CONSTRUÇÃO DE MATERIAIS DIDÁTICOS PARA O ENSINO DE CARTOGRAFIA E GEOMORFOLOGIA ATRAVÉS DA IMPRESSÃO 3D;;;;;;;;;;;;;;
"da Silva, Débora Bin; Lieban, Diego Eduardo; Fitarelli, Sarah; Reginato, Maria Júlia; Farias, Juan Alexandre Pereira; ";IMPRESSÃO 3D DE MATERIAIS DIDÁTICOS MODELADOS EM SOFTWARES DIGITAIS;5º SALÃO DE PESQUISA, EXTENSÃO E ENSINO DO IFRS;;;;2020;;;;;;;;;
"Neto, Antonio Virgínio Martins; Nascimento, Carlos José Sabino; Santos, Jarles Tarsso Gomes; Viana, Flávia Roldan; Fonseca, Géssica Fabiely; ";Impressão 3D e o Ensino de Geografia para aluna com Deficiência Visual;Revista de Casos e Consultoria;11;1;e11115-e11115;2020;artigo;B4;;;;;;;
"Carneiro, Celso Dal Ré; Gondek, Thassia Pine; Ferreira, R; Polly, D; Fontolan, LSB; Oliveira, M; Noritomi, P; ";Aplicação de maquetes físicas tridimensionais da Bacia do Paraná no Ensino de Geociências;Congresso Brasileiro de Geologia de Engenharia e Ambiental;17;;;2022;;;;;;;;;
